id,user_id,username,action,target_table,record_id,details,ip_address,created_at
1765,1,Darius,UPDATE,calibration_report,3065,"Marked done: Thermohygrometer | Code: THGM.189 | Cal Date: 2025-02-17 | Next: 2026-02-17",SDP-DP-115,"2026-04-15 03:54:53"
1767,1,Darius,UPDATE,calibration_report,2695,"Marked done: Curve Tracer (Double Image ) | Code: CTDT.41 | Cal Date: 2025-03-27 | Next: 2026-03-27",SDP-DP-115,"2026-04-15 03:54:55"
1769,1,Darius,UPDATE,inspection_report,227,"Marked done: Pressure Relief Valve (0~125psi) | Code: PRES.47.01 | Result: Not Yet Inspected | Next: 2027-04-01",SDP-DP-115,"2026-04-15 03:55:31"
1771,1,Darius,UPDATE,inspection_report,266,"Marked done: Steel Rule | Code: STRL.99 | Result: Not Yet Inspected | Next: 2026-10-01",SDP-DP-115,"2026-04-15 03:55:34"
1773,1,Darius,UPDATE,inspection_report,281,"Marked done: Stopwatch | Code: STOP.28 | Result: Not Yet Inspected | Next: 2026-10-01",SDP-DP-115,"2026-04-15 03:55:36"
1775,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 04:47:42"
1776,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 04:47:48"
1777,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 05:00:25"
1778,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-04-15 05:00:26"
1779,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 05:00:55"
1780,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 05:01:01"
1781,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-04-15 05:18:12"
1782,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 06:34:22"
1783,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-04-15 06:34:53"
1784,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 06:35:26"
1788,1,Darius,AUTO_LOGOUT,,,"Session automatically logged out after 30 minutes of inactivity",SDP-DP-115,"2026-04-15 09:20:40"
1789,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 09:24:31"
1796,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 10:37:25"
1797,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 10:39:16"
1798,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-04-15 10:47:53"
1799,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 23:33:46"
1801,1,Darius,UPDATE,calibration_report,3104,"Updated: Thermohygrometer | Code: THGM.224 | Status: Good",SDP-DP-115,"2026-04-15 23:36:13"
1802,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 23:45:20"
1803,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-04-15 23:45:22"
1804,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 23:45:48"
1805,1,Darius,LOGIN,,,"Logged in — role: super_admin",SDP-DP-115,"2026-04-15 23:45:55"
1814,1,Darius,FORCE_CLOSE,,,"Window closed or app exited without logout",SDP-DP-115,"2026-04-15 23:51:33"
1815,1,Darius,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 23:52:26"
1816,0,Guest,LOGIN,,,"Guest login",SDP-DP-115,"2026-04-15 23:52:27"
1817,0,Guest,LOGOUT,,,"Logged out",SDP-DP-115,"2026-04-15 23:53:44"
